"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","FamilySize","Deck","HasCabin","CabinRoom","FaresOnTicket","IndividualFare","Title","IsMarried","FsizeD","WaC","Mother","Cabin","full.1.891..c..PassengerId..."
0,3,2,22,1,0,7.25,3,2,8,0,0,1,7.25,3,1,3,3,2,0,"1"
1,1,1,38,1,0,71.2833,1,2,3,1,85,2,35.64165,4,1,3,2,2,85,"2"
1,3,1,26,0,0,7.925,3,1,8,0,0,1,7.925,2,0,2,2,2,0,"3"
1,1,1,35,1,0,53.1,3,2,3,1,123,2,26.55,4,1,3,2,2,123,"4"
0,3,2,35,0,0,8.05,3,1,8,0,0,1,8.05,3,0,2,3,2,0,"5"
0,3,2,18,0,0,8.4583,2,1,8,0,0,1,8.4583,3,0,2,3,2,0,"6"
0,1,2,54,0,0,51.8625,3,1,5,1,46,2,25.93125,3,0,2,3,2,46,"7"
0,3,2,2,3,1,21.075,3,5,8,0,0,5,4.215,1,1,1,1,2,0,"8"
1,3,1,27,0,2,11.1333,3,3,8,0,0,3,3.7111,4,1,3,2,1,0,"9"
1,2,1,14,1,0,30.0708,1,2,8,0,0,2,15.0354,4,1,3,1,2,0,"10"
1,3,1,4,1,1,16.7,3,3,7,1,6,3,5.56666666666667,2,1,3,1,2,6,"11"
1,1,1,58,0,0,26.55,3,1,3,1,1,1,26.55,2,0,2,2,2,1,"12"
0,3,2,20,0,0,8.05,3,1,8,0,0,1,8.05,3,0,2,3,2,0,"13"
0,3,2,39,1,5,31.275,3,7,8,0,0,7,4.46785714285714,3,1,1,3,2,0,"14"
0,3,1,14,0,0,7.8542,3,1,8,0,0,1,7.8542,2,0,2,1,2,0,"15"
1,2,1,55,0,0,16,3,1,8,0,0,1,16,4,0,2,2,2,0,"16"
0,3,2,2,4,1,29.125,2,6,8,0,0,6,4.85416666666667,1,1,1,1,2,0,"17"
1,2,2,18.5,0,0,13,3,1,8,0,0,1,13,3,0,2,3,2,0,"18"
0,3,1,31,1,0,18,3,2,8,0,0,2,9,4,1,3,2,2,0,"19"
1,3,1,40,0,0,7.225,1,1,8,0,0,1,7.225,4,0,2,2,2,0,"20"
0,2,2,35,0,0,26,3,1,8,0,0,2,13,3,0,2,3,2,0,"21"
1,2,2,34,0,0,13,3,1,4,1,56,1,13,3,0,2,3,2,56,"22"
1,3,1,15,0,0,8.0292,2,1,8,0,0,1,8.0292,2,0,2,1,2,0,"23"
1,1,2,28,0,0,35.5,3,1,1,1,6,1,35.5,3,0,2,3,2,6,"24"
0,3,1,8,3,1,21.075,3,5,8,0,0,5,4.215,2,1,1,1,2,0,"25"
1,3,1,38,1,5,31.3875,3,7,8,0,0,7,4.48392857142857,4,1,1,2,1,0,"26"
0,3,2,28.5,0,0,7.225,1,1,8,0,0,1,7.225,3,0,2,3,2,0,"27"
0,1,2,19,3,2,263,3,6,3,1,23,6,43.8333333333333,3,1,1,3,2,23,"28"
1,3,1,23,0,0,7.8792,2,1,8,0,0,1,7.8792,2,0,2,2,2,0,"29"
0,3,2,22,0,0,7.8958,3,1,8,0,0,1,7.8958,3,0,2,3,2,0,"30"
0,1,2,40,0,0,27.7208,1,1,8,0,0,1,27.7208,5,0,2,3,2,0,"31"
1,1,1,38,1,0,146.5208,1,2,2,1,78,3,48.8402666666667,4,1,3,2,2,78,"32"
1,3,1,35,0,0,7.75,2,1,8,0,0,1,7.75,2,0,2,2,2,0,"33"
0,2,2,66,0,0,10.5,3,1,8,0,0,1,10.5,3,0,2,3,2,0,"34"
0,1,2,28,1,0,82.1708,1,2,8,0,0,2,41.0854,3,1,3,3,2,0,"35"
0,1,2,42,1,0,52,3,2,8,0,0,2,26,3,1,3,3,2,0,"36"
1,3,2,20,0,0,7.2292,1,1,8,0,0,1,7.2292,3,0,2,3,2,0,"37"
0,3,2,21,0,0,8.05,3,1,8,0,0,1,8.05,3,0,2,3,2,0,"38"
0,3,1,18,2,0,18,3,3,8,0,0,2,9,2,1,3,2,2,0,"39"
1,3,1,14,1,0,11.2417,1,2,8,0,0,2,5.62085,2,1,3,1,2,0,"40"
0,3,1,40,1,0,9.475,3,2,8,0,0,1,9.475,4,1,3,2,2,0,"41"
0,2,1,27,1,0,21,3,2,8,0,0,2,10.5,4,1,3,2,2,0,"42"
0,3,2,26,0,0,7.8958,1,1,8,0,0,1,7.8958,3,0,2,3,2,0,"43"
1,2,1,3,1,2,41.5792,1,4,8,0,0,4,10.3948,2,1,3,1,2,0,"44"
1,3,1,19,0,0,7.8792,2,1,8,0,0,1,7.8792,2,0,2,2,2,0,"45"
0,3,2,42,0,0,8.05,3,1,8,0,0,1,8.05,3,0,2,3,2,0,"46"
0,3,2,21,1,0,15.5,2,2,8,0,0,2,7.75,3,1,3,3,2,0,"47"
1,3,1,21,0,0,7.75,2,1,8,0,0,1,7.75,2,0,2,2,2,0,"48"
0,3,2,24,2,0,21.6792,1,3,8,0,0,3,7.2264,3,1,3,3,2,0,"49"
0,3,1,18,1,0,17.8,3,2,8,0,0,2,8.9,4,1,3,2,2,0,"50"
0,3,2,7,4,1,39.6875,3,6,8,0,0,7,5.66964285714286,1,1,1,1,2,0,"51"
0,3,2,21,0,0,7.8,3,1,8,0,0,1,7.8,3,0,2,3,2,0,"52"
1,1,1,49,1,0,76.7292,1,2,4,1,33,3,25.5764,4,1,3,2,2,33,"53"
1,2,1,29,1,0,26,3,2,8,0,0,2,13,4,1,3,2,2,0,"54"
0,1,2,65,0,1,61.9792,1,2,2,1,3,2,30.9896,3,1,3,3,2,3,"55"
1,1,2,25,0,0,35.5,3,1,3,1,52,1,35.5,3,0,2,3,2,52,"56"
1,2,1,21,0,0,10.5,3,1,8,0,0,1,10.5,2,0,2,2,2,0,"57"
0,3,2,28.5,0,0,7.2292,1,1,8,0,0,1,7.2292,3,0,2,3,2,0,"58"
1,2,1,5,1,2,27.75,3,4,8,0,0,4,6.9375,2,1,3,1,2,0,"59"
0,3,2,11,5,2,46.9,3,8,8,0,0,8,5.8625,1,1,1,1,2,0,"60"
0,3,2,22,0,0,7.2292,1,1,8,0,0,1,7.2292,3,0,2,3,2,0,"61"
1,1,1,38,0,0,80,1,1,2,1,28,2,40,2,0,2,2,2,28,"62"
0,1,2,45,1,0,83.475,3,2,3,1,83,2,41.7375,3,1,3,3,2,83,"63"
0,3,2,4,3,2,27.9,3,6,8,0,0,6,4.65,1,1,1,1,2,0,"64"
0,1,2,25,0,0,27.7208,1,1,8,0,0,1,27.7208,3,0,2,3,2,0,"65"
1,3,2,0.33,1,1,15.2458,1,3,8,0,0,3,5.08193333333333,1,1,3,1,2,0,"66"
1,2,1,29,0,0,10.5,3,1,6,1,33,1,10.5,4,0,2,2,2,33,"67"
0,3,2,19,0,0,8.1583,3,1,8,0,0,1,8.1583,3,0,2,3,2,0,"68"
1,3,1,17,4,2,7.925,3,7,8,0,0,1,7.925,2,1,1,2,2,0,"69"
0,3,2,26,2,0,8.6625,3,3,8,0,0,1,8.6625,3,1,3,3,2,0,"70"
0,2,2,32,0,0,10.5,3,1,8,0,0,1,10.5,3,0,2,3,2,0,"71"
0,3,1,16,5,2,46.9,3,8,8,0,0,8,5.8625,2,1,1,1,2,0,"72"
0,2,2,21,0,0,73.5,3,1,8,0,0,7,10.5,3,0,2,3,2,0,"73"
0,3,2,26,1,0,14.4542,1,2,8,0,0,2,7.2271,3,1,3,3,2,0,"74"
1,3,2,32,0,0,56.4958,3,1,8,0,0,8,7.061975,3,0,2,3,2,0,"75"
0,3,2,25,0,0,7.65,3,1,6,1,73,1,7.65,3,0,2,3,2,73,"76"
0,3,2,35,0,0,7.8958,3,1,8,0,0,1,7.8958,3,0,2,3,2,0,"77"
0,3,2,22,0,0,8.05,3,1,8,0,0,1,8.05,3,0,2,3,2,0,"78"
1,2,2,0.83,0,2,29,3,3,8,0,0,3,9.66666666666667,1,1,3,1,2,0,"79"
1,3,1,30,0,0,12.475,3,1,8,0,0,2,6.2375,2,0,2,2,2,0,"80"
0,3,2,22,0,0,9,3,1,8,0,0,1,9,3,0,2,3,2,0,"81"
1,3,2,29,0,0,9.5,3,1,8,0,0,1,9.5,3,0,2,3,2,0,"82"
1,3,1,12,0,0,7.7875,2,1,8,0,0,1,7.7875,2,0,2,1,2,0,"83"
0,1,2,28,0,0,47.1,3,1,8,0,0,2,23.55,3,0,2,3,2,0,"84"
1,2,1,17,0,0,10.5,3,1,8,0,0,1,10.5,2,0,2,2,2,0,"85"
1,3,1,33,3,0,15.85,3,4,8,0,0,2,7.925,4,1,3,2,2,0,"86"
0,3,2,16,1,3,34.375,3,5,8,0,0,5,6.875,3,1,1,1,2,0,"87"
0,3,2,22,0,0,8.05,3,1,8,0,0,1,8.05,3,0,2,3,2,0,"88"
1,1,1,23,3,2,263,3,6,3,1,23,6,43.8333333333333,2,1,1,2,2,23,"89"
0,3,2,24,0,0,8.05,3,1,8,0,0,1,8.05,3,0,2,3,2,0,"90"
0,3,2,29,0,0,8.05,3,1,8,0,0,1,8.05,3,0,2,3,2,0,"91"
0,3,2,20,0,0,7.8542,3,1,8,0,0,1,7.8542,3,0,2,3,2,0,"92"
0,1,2,46,1,0,61.175,3,2,5,1,31,2,30.5875,3,1,3,3,2,31,"93"
0,3,2,26,1,2,20.575,3,4,8,0,0,4,5.14375,3,1,3,3,2,0,"94"
0,3,2,59,0,0,7.25,3,1,8,0,0,1,7.25,3,0,2,3,2,0,"95"
0,3,2,32,0,0,8.05,3,1,8,0,0,1,8.05,3,0,2,3,2,0,"96"
0,1,2,71,0,0,34.6542,1,1,1,1,5,1,34.6542,3,0,2,3,2,5,"97"
1,1,2,23,0,1,63.3583,1,2,4,1,1,2,31.67915,3,1,3,3,2,1,"98"
1,2,1,34,0,1,23,3,2,8,0,0,2,11.5,4,1,3,2,1,0,"99"
0,2,2,34,1,0,26,3,2,8,0,0,2,13,3,1,3,3,2,0,"100"
0,3,1,28,0,0,7.8958,3,1,8,0,0,1,7.8958,2,0,2,2,2,0,"101"
0,3,2,30,0,0,7.8958,3,1,8,0,0,1,7.8958,3,0,2,3,2,0,"102"
0,1,2,21,0,1,77.2875,3,2,4,1,26,2,38.64375,3,1,3,3,2,26,"103"
0,3,2,33,0,0,8.6542,3,1,8,0,0,1,8.6542,3,0,2,3,2,0,"104"
0,3,2,37,2,0,7.925,3,3,8,0,0,1,7.925,3,1,3,3,2,0,"105"
0,3,2,28,0,0,7.8958,3,1,8,0,0,1,7.8958,3,0,2,3,2,0,"106"
1,3,1,21,0,0,7.65,3,1,8,0,0,1,7.65,2,0,2,2,2,0,"107"
1,3,2,32,0,0,7.775,3,1,8,0,0,1,7.775,3,0,2,3,2,0,"108"
0,3,2,38,0,0,7.8958,3,1,8,0,0,1,7.8958,3,0,2,3,2,0,"109"
1,3,1,6,1,0,24.15,2,2,8,0,0,3,8.05,2,1,3,1,2,0,"110"
0,1,2,47,0,0,52,3,1,3,1,11,2,26,3,0,2,3,2,11,"111"
0,3,1,14.5,1,0,14.4542,1,2,8,0,0,2,7.2271,2,1,3,1,2,0,"112"
0,3,2,22,0,0,8.05,3,1,8,0,0,1,8.05,3,0,2,3,2,0,"113"
0,3,1,20,1,0,9.825,3,2,8,0,0,1,9.825,2,1,3,2,2,0,"114"
0,3,1,17,0,0,14.4583,1,1,8,0,0,2,7.22915,2,0,2,2,2,0,"115"
0,3,2,21,0,0,7.925,3,1,8,0,0,1,7.925,3,0,2,3,2,0,"116"
0,3,2,70.5,0,0,7.75,2,1,8,0,0,1,7.75,3,0,2,3,2,0,"117"
0,2,2,29,1,0,21,3,2,8,0,0,2,10.5,3,1,3,3,2,0,"118"
0,1,2,24,0,1,247.5208,1,2,2,1,58,3,82.5069333333333,3,1,3,3,2,58,"119"
0,3,1,2,4,2,31.275,3,7,8,0,0,7,4.46785714285714,2,1,1,1,2,0,"120"
0,2,2,21,2,0,73.5,3,3,8,0,0,7,10.5,3,1,3,3,2,0,"121"
0,3,2,16,0,0,8.05,3,1,8,0,0,1,8.05,3,0,2,1,2,0,"122"
0,2,2,32.5,1,0,30.0708,1,2,8,0,0,2,15.0354,3,1,3,3,2,0,"123"
1,2,1,32.5,0,0,13,3,1,5,1,1,1,13,2,0,2,2,2,1,"124"
0,1,2,54,0,1,77.2875,3,2,4,1,26,2,38.64375,3,1,3,3,2,26,"125"
1,3,2,12,1,0,11.2417,1,2,8,0,0,2,5.62085,1,1,3,1,2,0,"126"
0,3,2,18,0,0,7.75,2,1,8,0,0,1,7.75,3,0,2,3,2,0,"127"
1,3,2,24,0,0,7.1417,3,1,8,0,0,1,7.1417,3,0,2,3,2,0,"128"
1,3,1,2,1,1,22.3583,1,3,6,1,69,3,7.45276666666667,2,1,3,1,2,69,"129"
0,3,2,45,0,0,6.975,3,1,8,0,0,1,6.975,3,0,2,3,2,0,"130"
0,3,2,33,0,0,7.8958,1,1,8,0,0,1,7.8958,3,0,2,3,2,0,"131"
0,3,2,20,0,0,7.05,3,1,8,0,0,1,7.05,3,0,2,3,2,0,"132"
0,3,1,47,1,0,14.5,3,2,8,0,0,2,7.25,4,1,3,2,2,0,"133"
1,2,1,29,1,0,26,3,2,8,0,0,2,13,4,1,3,2,2,0,"134"
0,2,2,25,0,0,13,3,1,8,0,0,1,13,3,0,2,3,2,0,"135"
0,2,2,23,0,0,15.0458,1,1,8,0,0,1,15.0458,3,0,2,3,2,0,"136"
1,1,1,19,0,2,26.2833,3,3,4,1,47,1,26.2833,2,1,3,2,2,47,"137"
0,1,2,37,1,0,53.1,3,2,3,1,123,2,26.55,3,1,3,3,2,123,"138"
0,3,2,16,0,0,9.2167,3,1,8,0,0,2,4.60835,3,0,2,1,2,0,"139"
0,1,2,24,0,0,79.2,1,1,2,1,86,2,39.6,3,0,2,3,2,86,"140"
0,3,1,37,0,2,15.2458,1,3,8,0,0,3,5.08193333333333,4,1,3,2,1,0,"141"
1,3,1,22,0,0,7.75,3,1,8,0,0,1,7.75,2,0,2,2,2,0,"142"
1,3,1,24,1,0,15.85,3,2,8,0,0,2,7.925,4,1,3,2,2,0,"143"
0,3,2,19,0,0,6.75,2,1,8,0,0,1,6.75,3,0,2,3,2,0,"144"
0,2,2,18,0,0,11.5,3,1,8,0,0,1,11.5,3,0,2,3,2,0,"145"
0,2,2,19,1,1,36.75,3,3,8,0,0,4,9.1875,3,1,3,3,2,0,"146"
1,3,2,27,0,0,7.7958,3,1,8,0,0,1,7.7958,3,0,2,3,2,0,"147"
0,3,1,9,2,2,34.375,3,5,8,0,0,5,6.875,2,1,1,1,2,0,"148"
0,2,2,36.5,0,2,26,3,3,6,1,2,3,8.66666666666667,3,1,3,3,2,2,"149"
0,2,2,42,0,0,13,3,1,8,0,0,1,13,5,0,2,3,2,0,"150"
0,2,2,51,0,0,12.525,3,1,8,0,0,1,12.525,5,0,2,3,2,0,"151"
1,1,1,22,1,0,66.6,3,2,3,1,2,2,33.3,4,1,3,2,2,2,"152"
0,3,2,55.5,0,0,8.05,3,1,8,0,0,1,8.05,3,0,2,3,2,0,"153"
0,3,2,40.5,0,2,14.5,3,3,8,0,0,3,4.83333333333333,3,1,3,3,2,0,"154"
0,3,2,27,0,0,7.3125,3,1,8,0,0,1,7.3125,3,0,2,3,2,0,"155"
0,1,2,51,0,1,61.3792,1,2,8,0,0,2,30.6896,3,1,3,3,2,0,"156"
1,3,1,16,0,0,7.7333,2,1,8,0,0,1,7.7333,2,0,2,1,2,0,"157"
0,3,2,30,0,0,8.05,3,1,8,0,0,1,8.05,3,0,2,3,2,0,"158"
0,3,2,20,0,0,8.6625,3,1,8,0,0,1,8.6625,3,0,2,3,2,0,"159"
0,3,2,14.5,8,2,69.55,3,11,8,0,0,9,6.32272727272727,1,1,1,1,2,0,"160"
0,3,2,44,0,1,16.1,3,2,8,0,0,2,8.05,3,1,3,3,2,0,"161"
1,2,1,40,0,0,15.75,3,1,8,0,0,2,7.875,4,0,2,2,2,0,"162"
0,3,2,26,0,0,7.775,3,1,8,0,0,1,7.775,3,0,2,3,2,0,"163"
0,3,2,17,0,0,8.6625,3,1,8,0,0,1,8.6625,3,0,2,3,2,0,"164"
0,3,2,1,4,1,39.6875,3,6,8,0,0,7,5.66964285714286,1,1,1,1,2,0,"165"
1,3,2,9,0,2,20.525,3,3,8,0,0,3,6.84166666666667,1,1,3,1,2,0,"166"
1,1,1,47,0,1,55,3,2,5,1,33,2,27.5,4,1,3,2,1,33,"167"
0,3,1,45,1,4,27.9,3,6,8,0,0,6,4.65,4,1,1,2,1,0,"168"
0,1,2,33,0,0,25.925,3,1,8,0,0,1,25.925,3,0,2,3,2,0,"169"
0,3,2,28,0,0,56.4958,3,1,8,0,0,8,7.061975,3,0,2,3,2,0,"170"
0,1,2,61,0,0,33.5,3,1,2,1,19,1,33.5,3,0,2,3,2,19,"171"
0,3,2,4,4,1,29.125,2,6,8,0,0,6,4.85416666666667,1,1,1,1,2,0,"172"
1,3,1,1,1,1,11.1333,3,3,8,0,0,3,3.7111,2,1,3,1,2,0,"173"
0,3,2,21,0,0,7.925,3,1,8,0,0,1,7.925,3,0,2,3,2,0,"174"
0,1,2,56,0,0,30.6958,1,1,1,1,7,1,30.6958,3,0,2,3,2,7,"175"
0,3,2,18,1,1,7.8542,3,3,8,0,0,1,7.8542,3,1,3,3,2,0,"176"
0,3,2,2,3,1,25.4667,3,5,8,0,0,5,5.09334,1,1,1,1,2,0,"177"
0,1,1,50,0,0,28.7125,1,1,3,1,49,1,28.7125,2,0,2,2,2,49,"178"
0,2,2,30,0,0,13,3,1,8,0,0,1,13,3,0,2,3,2,0,"179"
0,3,2,36,0,0,0,3,1,8,0,0,4,0,3,0,2,3,2,0,"180"
0,3,1,9,8,2,69.55,3,11,8,0,0,9,6.32272727272727,2,1,1,1,2,0,"181"
0,2,2,31,0,0,15.05,1,1,8,0,0,1,15.05,3,0,2,3,2,0,"182"
0,3,2,9,4,2,31.3875,3,7,8,0,0,7,4.48392857142857,1,1,1,1,2,0,"183"
1,2,2,1,2,1,39,3,4,6,1,4,4,9.75,1,1,3,1,2,4,"184"
1,3,1,4,0,2,22.025,3,3,8,0,0,3,7.34166666666667,2,1,3,1,2,0,"185"
0,1,2,57,0,0,50,3,1,1,1,32,1,50,3,0,2,3,2,32,"186"
1,3,1,32,1,0,15.5,2,2,8,0,0,2,7.75,4,1,3,2,2,0,"187"
1,1,2,45,0,0,26.55,3,1,8,0,0,1,26.55,3,0,2,3,2,0,"188"
0,3,2,40,1,1,15.5,2,3,8,0,0,2,7.75,3,1,3,3,2,0,"189"
0,3,2,36,0,0,7.8958,3,1,8,0,0,1,7.8958,3,0,2,3,2,0,"190"
1,2,1,32,0,0,13,3,1,8,0,0,1,13,4,0,2,2,2,0,"191"
0,2,2,19,0,0,13,3,1,8,0,0,1,13,3,0,2,3,2,0,"192"
1,3,1,19,1,0,7.8542,3,2,8,0,0,1,7.8542,2,1,3,2,2,0,"193"
1,2,2,3,1,1,26,3,3,6,1,2,3,8.66666666666667,1,1,3,1,2,2,"194"
1,1,1,44,0,0,27.7208,1,1,2,1,4,1,27.7208,4,0,2,2,2,4,"195"
1,1,1,58,0,0,146.5208,1,1,2,1,8,3,48.8402666666667,2,0,2,2,2,8,"196"
0,3,2,70.5,0,0,7.75,2,1,8,0,0,1,7.75,3,0,2,3,2,0,"197"
0,3,2,42,0,1,8.4042,3,2,8,0,0,1,8.4042,3,1,3,3,2,0,"198"
1,3,1,21,0,0,7.75,2,1,8,0,0,1,7.75,2,0,2,2,2,0,"199"
0,2,1,24,0,0,13,3,1,8,0,0,1,13,2,0,2,2,2,0,"200"
0,3,2,28,0,0,9.5,3,1,8,0,0,1,9.5,3,0,2,3,2,0,"201"
0,3,2,16,8,2,69.55,3,11,8,0,0,9,6.32272727272727,3,1,1,1,2,0,"202"
0,3,2,34,0,0,6.4958,3,1,8,0,0,1,6.4958,3,0,2,3,2,0,"203"
0,3,2,45.5,0,0,7.225,1,1,8,0,0,1,7.225,3,0,2,3,2,0,"204"
1,3,2,18,0,0,8.05,3,1,8,0,0,1,8.05,3,0,2,3,2,0,"205"
0,3,1,2,0,1,10.4625,3,2,7,1,6,2,5.23125,2,1,3,1,2,6,"206"
0,3,2,32,1,0,15.85,3,2,8,0,0,2,7.925,3,1,3,3,2,0,"207"
1,3,2,26,0,0,18.7875,1,1,8,0,0,2,9.39375,3,0,2,3,2,0,"208"
1,3,1,16,0,0,7.75,2,1,8,0,0,1,7.75,2,0,2,1,2,0,"209"
1,1,2,40,0,0,31,1,1,1,1,31,1,31,3,0,2,3,2,31,"210"
0,3,2,24,0,0,7.05,3,1,8,0,0,1,7.05,3,0,2,3,2,0,"211"
1,2,1,35,0,0,21,3,1,8,0,0,2,10.5,2,0,2,2,2,0,"212"
0,3,2,22,0,0,7.25,3,1,8,0,0,1,7.25,3,0,2,3,2,0,"213"
0,2,2,30,0,0,13,3,1,8,0,0,1,13,3,0,2,3,2,0,"214"
0,3,2,20,1,0,7.75,2,2,8,0,0,1,7.75,3,1,3,3,2,0,"215"
1,1,1,31,1,0,113.275,1,2,4,1,36,3,37.7583333333333,2,1,3,2,2,36,"216"
1,3,1,27,0,0,7.925,3,1,8,0,0,1,7.925,2,0,2,2,2,0,"217"
0,2,2,42,1,0,27,3,2,8,0,0,2,13.5,3,1,3,3,2,0,"218"
1,1,1,32,0,0,76.2917,1,1,4,1,15,2,38.14585,2,0,2,2,2,15,"219"
